time_s,C_ppm
0.0,425.14428436975953
1.0,429.199666538018
2.0,427.6941256903669
3.0,418.04587574341474
4.0,416.88018219878387
5.0,425.0941108735575
6.0,429.96073275384424
7.0,429.07802222428813
8.0,436.4442384231658
9.0,431.990706795206
10.0,432.2622601157582
11.0,426.21744749572986
12.0,425.13002177103596
13.0,438.8694486382402
14.0,432.45537494256143
15.0,437.0166895508219
16.0,426.81043394644263
17.0,432.2296301826654
18.0,428.6607255297085
19.0,431.92853611816327
20.0,440.9993130869362
21.0,429.7447523841454
22.0,435.12771479727
23.0,439.25476058565863
24.0,435.7184788851154
25.0,438.4120182161365
26.0,439.16466489710723
27.0,442.953280229899
28.0,439.28327406575625
29.0,443.366385071764
30.0,442.84351417271637
31.0,445.22562440097613
32.0,444.760095738199
33.0,452.4458535514047
34.0,441.35077003438545
35.0,451.1666706385107
36.0,443.6493250697893
37.0,441.3546733589892
38.0,452.6726509963469
39.0,444.88216991467203
40.0,445.5953724354986
41.0,441.0349988609417
42.0,437.92348987599144
43.0,452.01340059133264
44.0,443.43452252947776
45.0,453.5628819627642
46.0,459.31488442237963
47.0,449.8946185028232
48.0,445.22228018599617
49.0,453.2054409274808
50.0,455.41467029369875
51.0,450.66130109756745
52.0,452.4145883562367
53.0,459.35356312724093
54.0,459.34748361071115
55.0,456.9063369558764
56.0,449.3540058829756
57.0,453.7406710537285
58.0,457.3402775430601
59.0,453.57673372721473
60.0,451.89019975945035
61.0,451.41154805277836
62.0,452.3707450066272
63.0,452.4592747332265
64.0,453.8425780443092
65.0,462.10179651775724
66.0,452.6400249951091
67.0,461.3422269265684
68.0,459.25488445729206
69.0,458.1198207714798
70.0,453.5331425278159
71.0,455.63082809051906
72.0,468.0213887675405
73.0,458.88352582125424
74.0,461.30915431701277
75.0,462.15865015621876
76.0,464.3426133714413
77.0,458.0933631109869
78.0,456.4422085798844
79.0,459.40317521779656
80.0,458.6010771797821
81.0,464.058448626564
82.0,461.2490499008401
83.0,461.68940326707735
84.0,461.40634845036783
85.0,467.00766220022547
86.0,458.3335567010514
87.0,458.83219935746314
88.0,465.82341079001105
89.0,461.03604208632146
90.0,463.5394460156539
91.0,458.2537707995439
92.0,462.17578423223983
93.0,464.37553762363564
94.0,455.7333116835921
95.0,459.04689869679225
96.0,464.7849647343292
97.0,474.05884288664436
98.0,465.26850896395104
99.0,462.8019402161954
100.0,459.0071797185413
101.0,465.32535642519287
102.0,450.99153066099313
103.0,463.37965499023966
104.0,462.10276611287435
105.0,461.28011401451346
106.0,475.6001854782582
107.0,451.7495650393509
108.0,464.12236985144125
109.0,464.6928188599191
110.0,466.79649117240905
111.0,456.5610410602142
112.0,462.34396169204956
113.0,457.3052337536252
114.0,464.24769595499197
115.0,465.96665499198133
116.0,465.9087563022944
117.0,464.19356912125534
118.0,466.2087034945666
119.0,466.25927941939284
120.0,467.4894442549795
121.0,465.68004519720927
122.0,456.7276042634778
123.0,461.65471883348954
124.0,467.54070587536745
125.0,461.34410241283837
126.0,461.9848953202168
127.0,466.62346182711974
128.0,465.9071166484304
129.0,470.68033500544766
130.0,468.8455905316986
131.0,464.18418774950896
132.0,467.0032064046734
133.0,452.2083263588843
134.0,462.58481652122924
135.0,465.9025628194125
136.0,454.77004656024565
137.0,465.1592677667764
138.0,468.09361169494696
139.0,472.0728253828916
140.0,468.9741286336716
141.0,476.4410013650123
142.0,474.7185106104757
143.0,458.9647549672898
144.0,466.063008007372
145.0,466.46794139753183
146.0,467.76175508521806
147.0,464.4930695806906
148.0,470.4610312634659
149.0,471.1855044210625
150.0,459.8893788909873
151.0,472.28680754070285
152.0,464.370518474664
153.0,472.93711361918247
154.0,470.52530238451726
155.0,467.09484513866886
156.0,477.7340085645096
157.0,472.28684243274927
158.0,468.04031879573085
159.0,469.16551836573547
160.0,480.0375605402598
161.0,475.0879610776247
162.0,472.7902903916728
163.0,469.1566769094923
164.0,470.93249473011366
165.0,468.898247697932
166.0,460.5634134257113
167.0,472.65650788132507
168.0,470.33708497347345
169.0,461.54460466940446
170.0,465.11970642648953
171.0,467.1245563908444
172.0,470.02533144043775
173.0,477.072821393873
174.0,468.5482484408251
175.0,458.78392731295247
176.0,471.76904460258606
177.0,467.7088351949723
178.0,459.86422594381975
179.0,457.197670897673
180.0,463.3121320038329
