time_s,C_ppm
0.0,421.8117203538153
1.0,420.2610127753523
2.0,420.874901556167
3.0,422.50986226677566
4.0,422.69159026041535
5.0,426.26635369615633
6.0,426.53387853928547
7.0,427.1697213408988
8.0,428.80268174860686
9.0,427.6351522859356
10.0,427.7493328173366
11.0,430.22113116112115
12.0,430.9778922499299
13.0,430.59189844045477
14.0,432.7466607660779
15.0,434.4311640021484
16.0,433.15923476615393
17.0,434.6061647286393
18.0,435.46042703985074
19.0,436.29274820944113
20.0,437.50690232389013
21.0,437.7361403071866
22.0,439.1978386359275
23.0,437.6255570340121
24.0,438.58871420508245
25.0,440.49318353500917
26.0,439.8315421306273
27.0,440.30272592008
28.0,441.3940559560246
29.0,442.3573315457859
30.0,442.06174111197
31.0,443.69593400720277
32.0,445.0229531113805
33.0,442.3729383116899
34.0,442.38240231097654
35.0,445.9236874100415
36.0,444.86605970864895
37.0,447.6006429365663
38.0,449.48609826983875
39.0,446.9379437815641
40.0,447.1499442930702
41.0,447.97146160326406
42.0,448.69603718435155
43.0,448.7965179598147
44.0,448.3570606259693
45.0,450.0857866560125
46.0,448.0549237894952
47.0,450.8619474961758
48.0,450.9558484477663
49.0,452.5426865465523
50.0,451.76937744044346
51.0,452.4556191886408
52.0,451.380916895728
53.0,452.8516860330477
54.0,453.79721674368716
55.0,454.37746508035553
56.0,453.8047307247658
57.0,455.59444323067163
58.0,455.6011701997113
59.0,453.9840419625174
60.0,452.47260192275354
61.0,454.1409307184071
62.0,455.5991361670899
63.0,455.9766193108948
64.0,455.80462407365496
65.0,455.9533238812198
66.0,457.292452183713
67.0,456.31950282942125
68.0,455.03960218626463
69.0,457.1107269479797
70.0,458.68820547817563
71.0,457.0634436430251
72.0,458.79327583145783
73.0,458.9634344077586
74.0,458.6018289824429
75.0,459.2523038357198
76.0,458.14688007575114
77.0,459.34123636289854
78.0,460.9934432678371
79.0,459.62514437608587
80.0,458.8028381163648
81.0,461.56883442562224
82.0,458.93957538041565
83.0,462.1451726352376
84.0,460.77648653673907
85.0,461.48389049788176
86.0,461.40055383422396
87.0,461.2443473350682
88.0,462.4761865858008
89.0,461.4910030716394
90.0,460.917654037828
91.0,461.94355132309255
92.0,460.3142988126388
93.0,462.07322257999283
94.0,460.5988339940606
95.0,462.5458197001261
96.0,463.3991145215409
97.0,463.4611801905501
98.0,462.82018020307453
99.0,460.40282973082174
100.0,462.764083600677
101.0,464.6517194066862
102.0,462.8873407725245
103.0,464.181739972998
104.0,463.10503317504094
105.0,465.4742995377788
106.0,461.9116872360558
107.0,463.6167561846511
108.0,463.87011782752137
109.0,464.8743629402631
110.0,464.50632450248224
111.0,464.7430756112325
112.0,462.4018642404341
113.0,466.7792967057414
114.0,465.0933574663879
115.0,464.36118717253424
116.0,466.47977093932116
117.0,464.0744886463973
118.0,465.63563831415735
119.0,466.3832363460614
120.0,466.24883287603143
121.0,465.81220613234643
122.0,465.56787216712866
123.0,464.7360937244274
124.0,466.1651057465496
125.0,464.62943212264594
126.0,467.05599713996156
127.0,466.938628557518
128.0,466.1723923893594
129.0,464.3176931998939
130.0,466.9580109492334
131.0,467.0250880402581
132.0,465.37627440126226
133.0,466.1165036725497
134.0,466.74929205064564
135.0,467.3729374837687
136.0,466.3654664929852
137.0,465.9734264261308
138.0,466.34771533164616
139.0,465.95105583366603
140.0,468.7518082796644
141.0,468.8740348990545
142.0,465.0583039335716
143.0,466.76266568165204
144.0,468.7698412670661
145.0,468.66384544569564
146.0,469.28117664648767
147.0,468.6271347031267
148.0,467.88705522164383
149.0,467.78159427141156
150.0,468.91793393259513
151.0,468.02456847869615
152.0,465.98301081809865
153.0,467.8226307558937
154.0,465.9431266579544
155.0,468.58584889475077
156.0,468.1424167412944
157.0,467.7148557231787
158.0,468.1667271107882
159.0,466.21415203998265
160.0,467.46511833152726
161.0,467.41923441636277
162.0,468.14975072181534
163.0,467.88050286993337
164.0,468.3059186275549
165.0,468.3900411133998
166.0,466.8140712036296
167.0,467.0074201598858
168.0,469.39557078477435
169.0,467.45785338902346
170.0,468.168998832198
171.0,469.16946124889927
172.0,468.069453551924
173.0,470.600763944421
174.0,467.54672586366576
175.0,467.8833361030766
176.0,466.5042012498899
177.0,469.3923164914435
178.0,468.1922247227544
179.0,469.22312046332905
180.0,469.1492394850556
