time_s,C_ppm
0.0,420.0
1.0,428.312354096241
2.0,435.24280358005603
3.0,441.0210860607595
4.0,445.8387459405087
5.0,449.8554839235434
6.0,453.2044509380419
7.0,455.99666195891757
8.0,458.32467604545434
9.0,460.2656645834245
10.0,461.8839694409076
11.0,463.2332358381694
12.0,464.35819063414715
13.0,465.2961249779963
14.0,466.07813047414345
15.0,466.73012983850697
16.0,467.27373621112827
17.0,467.72696961058546
18.0,468.10485427995206
19.0,468.4199167257324
20.0,468.6826009592776
21.0,468.90161470552823
22.0,469.08421805556327
23.0,469.23646413150533
24.0,469.3633997415875
25.0,469.4692326769012
26.0,469.5574711955474
27.0,469.6310403179553
28.0,469.69237878844314
29.0,469.74351991720266
30.0,469.7861589825396
31.0,469.8217094276882
32.0,469.8513497150697
33.0,469.87606239116667
34.0,469.896666656976
35.0,469.91384552371926
36.0,469.9281684539957
37.0,469.940110238909
38.0,469.95006673692757
39.0,469.95836799620434
40.0,469.96528919535007
41.0,469.97105976533436
42.0,469.9758709948978
43.0,469.97988237158575
44.0,469.9832268686049
45.0,469.98601535275407
46.0,469.98834025955045
47.0,469.99027865737617
48.0,469.9918948022198
49.0,469.99324226769915
50.0,469.9943657209746
51.0,469.9953024034213
52.0,469.9960833651446
53.0,469.9967344942603
54.0,469.9972773750605
55.0,469.9977300035119
56.0,469.998107383804
57.0,469.9984220257238
58.0,469.9986843593426
59.0,469.9989030807627
60.0,469.99908544038504
